order_id,created_at,origin,destination,status,carrier,planned_hours,actual_hours,price_rub,documents_complete
AT-0066,2026-05-01,Советская Гавань,Комсомольск-на-Амуре,Доставлен,Собственный парк,48,48,76000,Нет
AT-0067,2026-07-30,Комсомольск-на-Амуре,Советская Гавань,Доставлен,Собственный парк,48,52,30000,Нет
AT-0068,2026-06-12,Советская Гавань,Хабаровск,На согласовании,Собственный парк,12,,13000,Нет
AT-0069,2026-01-10,Советская Гавань,Амурск,Запланирован,Перевозчик А,16,,15000,Нет
AT-0070,2026-01-02,Комсомольск-на-Амуре,Амурск,Закрыт,Собственный парк,16,20,17000,Да
AT-0071,2026-07-28,Хабаровск,Советская Гавань,Закрыт,Собственный парк,8,16,12000,Да
AT-0072,2026-08-11,Комсомольск-на-Амуре,Амурск,Доставлен,Собственный парк,24,32,66000,Нет
AT-0073,2026-05-10,Хабаровск,Комсомольск-на-Амуре,Закрыт,Перевозчик Б,48,54,67000,Да
AT-0074,2026-06-18,Комсомольск-на-Амуре,Хабаровск,Закрыт,Собственный парк,48,49,48000,Да
AT-0075,2026-01-17,Советская Гавань,Хабаровск,В пути,Собственный парк,12,,62000,Нет
AT-0076,2026-07-31,Амурск,Хабаровск,Закрыт,Перевозчик А,16,11,38000,Да
AT-0077,2026-06-30,Хабаровск,Комсомольск-на-Амуре,Закрыт,Собственный парк,48,58,52000,Да
AT-0078,2026-03-03,Комсомольск-на-Амуре,Хабаровск,Закрыт,Перевозчик Б,36,48,75000,Да
AT-0079,2026-08-21,Советская Гавань,Амурск,На согласовании,Собственный парк,36,,90000,Нет
AT-0080,2026-02-12,Советская Гавань,Комсомольск-на-Амуре,Закрыт,Перевозчик Б,16,16,42000,Да
AT-0081,2026-02-26,Советская Гавань,Амурск,В пути,Перевозчик А,12,,28000,Нет
AT-0082,2026-05-25,Амурск,Комсомольск-на-Амуре,Доставлен,Перевозчик Б,36,35,42000,Нет
AT-0083,2026-07-04,Советская Гавань,Комсомольск-на-Амуре,На согласовании,Перевозчик А,24,,51000,Нет
AT-0084,2026-01-31,Комсомольск-на-Амуре,Хабаровск,В пути,Перевозчик А,48,,64000,Нет
AT-0085,2026-06-03,Комсомольск-на-Амуре,Хабаровск,Закрыт,Собственный парк,48,49,13000,Да
AT-0086,2026-06-30,Амурск,Хабаровск,В пути,Собственный парк,36,,90000,Нет
AT-0087,2026-02-14,Комсомольск-на-Амуре,Советская Гавань,На согласовании,Собственный парк,16,,82000,Нет
AT-0088,2026-01-08,Хабаровск,Комсомольск-на-Амуре,В пути,Собственный парк,8,,54000,Нет
AT-0089,2026-03-30,Советская Гавань,Амурск,Закрыт,Перевозчик А,24,24,47000,Да
AT-0090,2026-06-10,Комсомольск-на-Амуре,Хабаровск,Запланирован,Собственный парк,36,,81000,Нет
AT-0091,2026-06-20,Комсомольск-на-Амуре,Амурск,В пути,Перевозчик А,48,,69000,Нет
AT-0092,2026-05-14,Советская Гавань,Амурск,Закрыт,Перевозчик Б,8,19,33000,Да
AT-0093,2026-08-23,Амурск,Советская Гавань,Закрыт,Перевозчик Б,36,43,26000,Да
AT-0094,2026-04-25,Хабаровск,Советская Гавань,Закрыт,Перевозчик Б,16,22,19000,Да
AT-0095,2026-06-23,Советская Гавань,Амурск,На согласовании,Собственный парк,8,,82000,Нет
AT-0096,2026-08-02,Советская Гавань,Хабаровск,Закрыт,Перевозчик Б,12,22,20000,Да
AT-0097,2026-06-16,Комсомольск-на-Амуре,Амурск,Запланирован,Собственный парк,8,,62000,Нет
AT-0098,2026-01-26,Комсомольск-на-Амуре,Советская Гавань,Закрыт,Перевозчик Б,24,29,42000,Да
AT-0099,2026-06-30,Хабаровск,Советская Гавань,Закрыт,Перевозчик Б,24,19,56000,Да
AT-0100,2026-03-20,Комсомольск-на-Амуре,Амурск,Доставлен,Перевозчик Б,36,32,24000,Нет
AT-0101,2026-04-24,Амурск,Хабаровск,Закрыт,Собственный парк,8,6,74000,Да
AT-0102,2026-04-19,Советская Гавань,Комсомольск-на-Амуре,В пути,Собственный парк,12,,57000,Нет
AT-0103,2026-02-02,Советская Гавань,Хабаровск,Запланирован,Перевозчик Б,48,,66000,Нет
AT-0104,2026-06-02,Комсомольск-на-Амуре,Хабаровск,Доставлен,Собственный парк,48,56,21000,Нет
AT-0105,2026-07-04,Хабаровск,Комсомольск-на-Амуре,Доставлен,Перевозчик Б,16,28,31000,Нет
AT-0106,2026-02-24,Комсомольск-на-Амуре,Хабаровск,На согласовании,Собственный парк,16,,33000,Нет
AT-0107,2026-05-10,Амурск,Советская Гавань,Запланирован,Перевозчик Б,24,,50000,Нет
AT-0108,2026-02-04,Хабаровск,Советская Гавань,На согласовании,Собственный парк,36,,31000,Нет
AT-0109,2026-02-26,Комсомольск-на-Амуре,Советская Гавань,В пути,Перевозчик А,24,,81000,Нет
AT-0110,2026-04-10,Комсомольск-на-Амуре,Хабаровск,В пути,Перевозчик А,8,,68000,Нет
AT-0111,2026-08-24,Советская Гавань,Хабаровск,Закрыт,Перевозчик А,48,50,17000,Да
AT-0112,2026-08-21,Комсомольск-на-Амуре,Советская Гавань,Доставлен,Перевозчик Б,36,42,66000,Нет
AT-0113,2026-01-04,Амурск,Советская Гавань,Закрыт,Перевозчик Б,48,48,20000,Да
AT-0114,2026-05-20,Советская Гавань,Комсомольск-на-Амуре,Доставлен,Перевозчик А,8,6,29000,Нет
AT-0115,2026-03-05,Амурск,Хабаровск,Запланирован,Перевозчик Б,48,,57000,Нет
AT-0116,2026-08-03,Комсомольск-на-Амуре,Советская Гавань,На согласовании,Собственный парк,48,,77000,Нет
AT-0117,2026-03-03,Амурск,Комсомольск-на-Амуре,В пути,Собственный парк,24,,36000,Нет
AT-0118,2026-01-06,Комсомольск-на-Амуре,Хабаровск,Закрыт,Собственный парк,36,39,19000,Да
AT-0119,2026-08-28,Амурск,Хабаровск,Доставлен,Перевозчик Б,36,36,53000,Нет
AT-0120,2026-08-24,Амурск,Комсомольск-на-Амуре,Закрыт,Перевозчик Б,16,11,17000,Да
